model,split,tn,fp,fn,tp,specificity,recall,precision
mlp_classifier,test,22791,5571,4996,22758,0.8035752062618997,0.8199899113641277,0.8033463941544001
hist_gradient_boosting,test,22935,5427,5403,22351,0.8086524222551301,0.8053253585068819,0.8046295629634963
logistic_regression,test,22914,5448,5384,22370,0.807911994922784,0.8060099445125027,0.8041555827162269
