model,feature,importance_mean,importance_std,feature_group,is_shift_feature
mlp_classifier,last_trade_price,0.31441313164455753,0.00185931872113386,trade,False
mlp_classifier,mid_shift,0.15258452876782702,0.0015517235254353507,book,True
mlp_classifier,obs_mid_return,0.14693934775631087,0.0023489751191238142,book,False
mlp_classifier,mid_late_mean,0.12907454680098748,0.0019002515370731732,book,False
mlp_classifier,mean_trade_price,0.08993203569601098,0.00275811895309992,trade,False
mlp_classifier,wap1_mean,0.06657712003885538,0.0013722553034558344,book,False
mlp_classifier,trade_count_late,0.043531767804872445,0.002405100149741316,trade,False
mlp_classifier,mid_mean,0.03545950641151876,0.0018250070351348202,book,False
mlp_classifier,n_trade_seconds,0.029727138710735422,0.001371781209113419,trade,False
mlp_classifier,mid_early_mean,0.02968149048111479,0.000820650101222021,book,False
mlp_classifier,mid_min,0.021355424042462535,0.0011805792444236163,book,False
mlp_classifier,obs_mid_range,0.017536712306377523,0.0009962304758004722,book,False
mlp_classifier,mid_max,0.015257353324180345,0.0017806474660587625,book,False
mlp_classifier,spread1_early_mean,0.01490251123782893,0.0013353852598135363,book,False
mlp_classifier,trade_count,0.014197325943217631,0.0008185109639913324,trade,False
mlp_classifier,total_volume,0.013531854953380185,0.0002619124843513752,trade,False
mlp_classifier,imbalance1_shift,0.012421243348932886,0.00063288294168091,book,True
mlp_classifier,n_book_updates,0.01190919164409956,0.0002442936115570344,book,False
mlp_classifier,imbalance1_late_mean,0.009827618514685988,0.0005633122311752083,book,False
mlp_classifier,imbalance1_early_mean,0.009717118338295005,0.0011382313732171722,book,False
mlp_classifier,n_book_seconds,0.008829631531423531,0.0008605658864998429,book,False
mlp_classifier,dollar_volume_early,0.008528643910311051,0.00019817371874335368,trade,False
mlp_classifier,obs_vol_proxy,0.008201355936530463,0.0007979158057005687,book,False
mlp_classifier,std_trade_price,0.008048853551386004,0.00045660882759801735,trade,False
mlp_classifier,spread1_mean,0.00784312396052289,0.001337640204148256,book,False
mlp_classifier,total_volume_early,0.007258360999113545,0.0008331167213956245,trade,False
mlp_classifier,rel_spread1_late_mean,0.007072118480097189,0.0013775479199938843,book,False
mlp_classifier,dollar_volume,0.006855117322687887,0.0005738947267959466,trade,False
mlp_classifier,rel_spread1_mean,0.0063312012296513395,0.0011041235224860753,book,False
mlp_classifier,trade_count_shift,0.005762361973214625,0.00044807653790179916,trade,True
mlp_classifier,depth1_late_mean,0.0056827818360993595,0.0005810037074569165,book,False
mlp_classifier,trade_count_early,0.005564633595982494,0.0002513877398107804,trade,False
mlp_classifier,rel_spread1_early_mean,0.005398743842381704,0.0006504267484697096,book,False
mlp_classifier,mid_std,0.004953749264331187,0.0009409213744326873,book,False
mlp_classifier,spread1_shift,0.004585607160812977,0.0008849459210263947,book,True
mlp_classifier,stock_id,0.004542643070101038,0.0020648716175703484,stock_id,False
mlp_classifier,rel_spread1_shift,0.004149145436050472,0.00048670468133915325,book,True
mlp_classifier,spread1_last,0.003627814762638848,0.0007287051045011165,book,False
mlp_classifier,dollar_volume_late,0.0034484392189840563,0.0006574280054567944,trade,False
mlp_classifier,wap1_std,0.0034453639654123736,0.0005570656749263254,book,False
mlp_classifier,spread2_mean,0.003366736531505499,0.0005022349837821067,book,False
mlp_classifier,total_order_count,0.0028728891519350652,0.0007188806807119548,trade,False
mlp_classifier,depth1_mean,0.002868238737509099,0.0004950035643843664,book,False
mlp_classifier,imbalance1_mean,0.0026133219633830197,0.0007653928536085045,book,False
mlp_classifier,mean_trade_size_late,0.002548330343459404,0.00061128587405268,trade,False
mlp_classifier,depth1_early_mean,0.002445811223522165,0.0004260637253224318,book,False
mlp_classifier,spread1_late_mean,0.0023435825608285167,0.0006006918397179345,book,False
mlp_classifier,depth2_mean,0.0022966630766216413,0.0006405461688054656,book,False
mlp_classifier,spread1_std,0.002247164590829498,0.0007647422589984647,book,False
mlp_classifier,volume_shift,0.002052629755131141,0.0003588517152485954,trade,True
mlp_classifier,mean_trade_size_early,0.00188095492433924,0.0004553017458719071,trade,False
mlp_classifier,volume_per_trade,0.0017354472207535387,0.0005984284364432182,trade,False
mlp_classifier,mean_trade_size,0.0014501543438676379,0.0003869161274365885,trade,False
mlp_classifier,total_volume_late,0.0010724439957312093,0.0004275297880044631,trade,False
mlp_classifier,imbalance1_std,0.0010532936168658803,0.0003944414167985413,book,False
mlp_classifier,depth1_std,0.0008805693866265508,0.00022851334521135634,book,False
mlp_classifier,mean_trade_size_shift,0.0005679306988222832,0.0007077093953008748,trade,True
mlp_classifier,depth1_shift,0.000537686007549909,0.0005011289598533972,book,True
mlp_classifier,std_trade_size,0.0004963819838011974,0.00020283994538805372,trade,False
