future_start,future_width,accuracy_logistic_regression,average_precision_logistic_regression,balanced_accuracy_logistic_regression,f1_logistic_regression,log_loss_logistic_regression,precision_logistic_regression,recall_logistic_regression,roc_auc_logistic_regression,specificity_logistic_regression
300,10,0.8069712737900064,0.8553166389335363,0.8069609697176434,0.8050816958180379,0.47800030005649213,0.8041555827162269,0.8060099445125027,0.8709876204062411,0.807911994922784
300,15,0.7936337939147076,0.8413249463266834,0.7936181318612412,0.7916031346406156,0.4971452072695133,0.7910981962507531,0.7921087180215023,0.8584772995406224,0.7951275457009801
300,20,0.7806870548806033,0.8278622772179459,0.7806860703406,0.7785689108212901,0.5135500432734164,0.776543383490367,0.7806050325134295,0.8461244839128894,0.7807671081677704
300,25,0.7715497678315819,0.8168320355287693,0.771541185642886,0.7690950473737143,0.5267347751872363,0.7673215040135192,0.7708768082622998,0.835981751498284,0.7722055630234722
300,30,0.7616762302208312,0.8060891901755655,0.7616559150292443,0.7587736280756099,0.5381625749383387,0.7573606914482468,0.7601918465227818,0.8265787174141903,0.763119983535707
330,10,0.6931223523548468,0.7235098166879366,0.6930844314733204,0.6896477237952946,0.6130447568564659,0.6895608351331893,0.6897346343571095,0.7487438139616975,0.6964342285895315
330,15,0.6882770246540704,0.7202497366290974,0.6882450115958453,0.6852147391566479,0.6163574600249412,0.6857741179811173,0.6846562721474132,0.7440825738454333,0.6918337510442774
330,20,0.6841857299900539,0.7151172959087706,0.6841567123852783,0.6810917484538263,0.6195955482009888,0.6809597632302163,0.6812237848507279,0.7392083087435037,0.6870896399198286
330,25,0.682108598387911,0.7121603687049968,0.6820772182688418,0.6789055356263628,0.6212949626445254,0.6788577859051906,0.6789532920652785,0.7361688884009819,0.6852011444724051
330,30,0.6793736407133536,0.7097644299293594,0.6793417098709249,0.6760196905766526,0.6233120477099138,0.6756158414449872,0.6764240227984378,0.7334979732653444,0.6822593969434119
360,10,0.6498914861066638,0.6715688320211521,0.6498781417433621,0.6472370095535123,0.6444573701191892,0.646021182195506,0.6484574219732069,0.6966882993794543,0.6512988615135173
360,15,0.6482862708622172,0.6705296635498916,0.6482713562145584,0.6454865472041889,0.6452368353486327,0.64422160234455,0.6467564693371145,0.6954113211525189,0.6497862430920024
360,20,0.6467898713854423,0.6681644297926385,0.6467834950233748,0.6441005802707931,0.6461168191656841,0.642023346303502,0.6461912994390149,0.6933428245702847,0.6473756906077348
360,25,0.6446770345344038,0.666005346755113,0.6446636946793565,0.6416565677854471,0.6470608157177652,0.6398472801148902,0.643476116669015,0.691269935037846,0.6458512726896979
360,30,0.6440837368072729,0.6640234862356544,0.6440750998649472,0.6409066947812335,0.6478134983057438,0.6384386486959566,0.643393896630799,0.6895754621897299,0.6447563030990954
420,10,0.6111953477586115,0.6270272122237471,0.611195407117817,0.6102707148732254,0.6663534178291681,0.6093337142040991,0.6112106017191977,0.6482181515299967,0.6111802125164363
420,15,0.6111277190637804,0.6249890471022616,0.6111264121850646,0.6098309749814743,0.6668917914000072,0.6087998027266002,0.6108656463186173,0.6472599704467207,0.6113871780515118
420,20,0.6113931585028536,0.6233499890126021,0.6113891577349223,0.609849550056243,0.6672973697903569,0.6090787810700744,0.6106222722793186,0.6460847999969401,0.612156043190526
420,25,0.6104430987242806,0.6205088417596292,0.6104380132665013,0.6086743101574279,0.668152467540524,0.607758017084442,0.6095933703209495,0.6443645814621639,0.6112826562120529
420,30,0.6093248709722416,0.6199278032746801,0.6093211708887389,0.6076419290442335,0.6683037421034451,0.6065797293990141,0.6087078553134758,0.6437263858609018,0.6099344864640022
480,10,0.5914666666666667,0.5975211982860149,0.5914334141941905,0.587699153150567,0.6764131183350046,0.589645737327189,0.5857653791130186,0.6208385331567441,0.5971014492753624
480,15,0.590107120352867,0.5955695388500636,0.5900658956954536,0.5858885941644563,0.6770077744319642,0.588093294046647,0.5837003629188542,0.6185521690057696,0.5964314284720531
480,20,0.58938887728823,0.5949650670657214,0.5893548187987336,0.5855885917001808,0.6773889610760908,0.5873938625233415,0.5837943833601793,0.6178387159156087,0.5949152542372881
480,25,0.5893555281402582,0.5951465311814954,0.5893236213353404,0.5857566037405129,0.6771545352950146,0.5867954345917471,0.584721444568869,0.6180304136670315,0.5939257981018119
480,30,0.5891464791178258,0.5957455945011958,0.5891240074606917,0.5860989135949336,0.6771627671503517,0.587321622664002,0.5848812849162012,0.6181593462268549,0.5933667300051823
540,10,0.5812170067056641,0.5864461574854903,0.581211238095362,0.5765193868349865,0.680411000111984,0.5827408946735207,0.570429320866493,0.6065384361098691,0.5919931553242309
540,15,0.5792268068423551,0.5865217979145629,0.5792478773209236,0.5756232490513848,0.6806670069848315,0.5818755377114998,0.5695038944635464,0.6053597390607341,0.5889918601783009
540,20,0.5794408873027536,0.5866195142404746,0.57946205812494,0.5759093956179656,0.6806500551593887,0.5820911489907995,0.5698575617930457,0.6054166819812287,0.5890665544568343
540,25,0.5790522122038163,0.5851960823193858,0.5790611038530037,0.5752820874471086,0.6808474518233745,0.5810392107981054,0.5696379316364653,0.6046615266444042,0.5884842760695421
540,30,0.5785298691314451,0.5841960662642088,0.5785327159758367,0.5739667961850936,0.6809616731697763,0.5804043434776397,0.5676704863051985,0.6038864071219795,0.5893949456464749
