model,split,accuracy,precision,recall,f1,balanced_accuracy,specificity,roc_auc,average_precision,log_loss
hist_gradient_boosting,test,0.575337448990269,0.5725251719669026,0.5999791057250313,0.5859307248890476,0.5752987123678605,0.5506183190106896,0.6074278461402407,0.5963570847435395,0.6749980467183307
logistic_regression,test,0.576436120121377,0.5789811643835616,0.5651901379022148,0.5720025375343625,0.5764537987771396,0.5877174596520646,0.6014578358844844,0.5826249206115237,0.6813631329800645
mlp_classifier,test,0.5677862648669387,0.5673103259380992,0.5770302270511213,0.5721289966162558,0.5677717333816356,0.5585132397121498,0.5966863620961745,0.587113779804302,0.6791026925424752
random_forest,test,0.5623452268843082,0.563736882879076,0.5574940799554255,0.5605981020415309,0.5623528528750787,0.567211625794732,0.5911248312908584,0.5817237965519698,0.6825191269059347
dummy_majority,test,0.5007847650936487,0.5007847650936487,1.0,0.6673638708777802,0.5,0.0,0.5,0.5007847650936487,6.896913849315971
