model,feature,importance_mean,importance_std,feature_group,is_shift_feature
hist_gradient_boosting,last_trade_price,0.30664980107821793,0.0025385618854073576,trade,False
hist_gradient_boosting,mid_late_mean,0.2149656535983008,0.004042058900577287,book,False
hist_gradient_boosting,obs_mid_return,0.131904461539901,0.0038455355949873963,book,False
hist_gradient_boosting,mid_shift,0.07536416232493574,0.0018361805626681427,book,True
hist_gradient_boosting,mid_min,0.011109806368912544,0.0007987134264882702,book,False
hist_gradient_boosting,mid_std,0.005175737371472033,0.0007808344521614528,book,False
hist_gradient_boosting,obs_vol_proxy,0.004828692859239125,0.0006001110592575476,book,False
hist_gradient_boosting,mean_trade_price,0.0041823754817302385,0.0003874542989808905,trade,False
hist_gradient_boosting,mid_max,0.004083182698172916,0.00019729931631901364,book,False
hist_gradient_boosting,obs_mid_range,0.0028973799713764015,0.0003568703200862037,book,False
hist_gradient_boosting,std_trade_price,0.0012728811918086835,0.0002911647414289142,trade,False
hist_gradient_boosting,wap1_std,0.00048220983389559715,0.0002174641645016613,book,False
hist_gradient_boosting,mid_early_mean,0.00042671017849746915,0.00025390075106688717,book,False
hist_gradient_boosting,spread1_last,0.00041503753376113115,0.00012427985483989308,book,False
hist_gradient_boosting,volume_shift,0.0003516206344940098,0.0002911526288299159,trade,True
logistic_regression,last_trade_price,0.3073781770821038,0.0019628288879713603,trade,False
logistic_regression,mean_trade_price,0.21819172849326005,0.0020054942950966004,trade,False
logistic_regression,mid_shift,0.1592621995602841,0.0027058738078684294,book,True
logistic_regression,obs_mid_return,0.1507492095201881,0.0023119288216144136,book,False
logistic_regression,mid_late_mean,0.11177564366794637,0.0015110156143430952,book,False
logistic_regression,wap1_mean,0.04915319566115124,0.0016291206805037082,book,False
logistic_regression,mid_min,0.03393323070758989,0.00107877336979926,book,False
logistic_regression,mid_early_mean,0.02742742064781072,0.0009887252391645755,book,False
logistic_regression,rel_spread1_mean,0.026884867820916057,0.001714980192296512,book,False
logistic_regression,mid_max,0.025657360838505228,0.0014380401799978311,book,False
logistic_regression,spread1_mean,0.01532447375167445,0.0015934306888101294,book,False
logistic_regression,spread1_late_mean,0.007850529059234312,0.000620840620805986,book,False
logistic_regression,dollar_volume_late,0.006371558499262764,0.0005017580223234194,trade,False
logistic_regression,mid_mean,0.006303760117928836,0.0005948869856748959,book,False
logistic_regression,spread1_early_mean,0.0059271858247975425,0.0008081537698755169,book,False
mlp_classifier,last_trade_price,0.31441313164455753,0.00185931872113386,trade,False
mlp_classifier,mid_shift,0.15258452876782702,0.0015517235254353507,book,True
mlp_classifier,obs_mid_return,0.14693934775631087,0.0023489751191238142,book,False
mlp_classifier,mid_late_mean,0.12907454680098748,0.0019002515370731732,book,False
mlp_classifier,mean_trade_price,0.08993203569601098,0.00275811895309992,trade,False
mlp_classifier,wap1_mean,0.06657712003885538,0.0013722553034558344,book,False
mlp_classifier,trade_count_late,0.043531767804872445,0.002405100149741316,trade,False
mlp_classifier,mid_mean,0.03545950641151876,0.0018250070351348202,book,False
mlp_classifier,n_trade_seconds,0.029727138710735422,0.001371781209113419,trade,False
mlp_classifier,mid_early_mean,0.02968149048111479,0.000820650101222021,book,False
mlp_classifier,mid_min,0.021355424042462535,0.0011805792444236163,book,False
mlp_classifier,obs_mid_range,0.017536712306377523,0.0009962304758004722,book,False
mlp_classifier,mid_max,0.015257353324180345,0.0017806474660587625,book,False
mlp_classifier,spread1_early_mean,0.01490251123782893,0.0013353852598135363,book,False
mlp_classifier,trade_count,0.014197325943217631,0.0008185109639913324,trade,False
random_forest,last_trade_price,0.2019156406110331,0.0022794080462457534,trade,False
random_forest,obs_mid_return,0.171517059748569,0.0027451548876377485,book,False
random_forest,mid_late_mean,0.05266698606734475,0.0007827564651243574,book,False
random_forest,mid_shift,0.05218185068116983,0.000809281768916652,book,True
random_forest,wap1_mean,0.017311269633379277,0.0006496910468955908,book,False
random_forest,mid_mean,0.016808731373546704,0.0006808293042276564,book,False
random_forest,mean_trade_price,0.013125023364244547,0.001006939839362205,trade,False
random_forest,mid_early_mean,0.006943108867145798,0.0005148102528749352,book,False
random_forest,mid_min,0.005030534489015914,0.0005235055485197171,book,False
random_forest,obs_vol_proxy,0.004534466184325692,0.0005567577759034741,book,False
random_forest,mid_std,0.003519900576162094,0.000820651752405849,book,False
random_forest,mid_max,0.0027325535524666657,0.0008779275276231898,book,False
random_forest,wap1_std,0.0026880058738852687,0.0004460021981408059,book,False
random_forest,obs_mid_range,0.0022350710082829073,8.177060305765252e-05,book,False
random_forest,imbalance1_shift,0.0018569064945088032,0.0005508362355587837,book,True
