ablation,model,future_start,future_width,n_features,train_accuracy,train_precision,train_recall,train_f1,train_balanced_accuracy,train_specificity,train_roc_auc,train_average_precision,train_log_loss,test_accuracy,test_precision,test_recall,test_f1,test_balanced_accuracy,test_specificity,test_roc_auc,test_average_precision,test_log_loss,accuracy_drop_vs_full,f1_drop_vs_full,roc_auc_drop_vs_full,balanced_accuracy_drop_vs_full,average_precision_drop_vs_full
full,logistic_regression,300,10,59,0.806278809019559,0.8070401411557124,0.808495218567161,0.8077670245832156,0.8062635576753017,0.8040318967834423,0.8702177767490629,0.8587606315148256,0.47788594570952203,0.8069712737900064,0.8041555827162269,0.8060099445125027,0.8050816958180379,0.8069609697176434,0.807911994922784,0.8709876204062411,0.8553166389335363,0.47800030005649213,0.0,0.0,0.0,0.0,0.0
book_only,logistic_regression,300,10,37,0.7456397159586395,0.7471368906234823,0.7478302370388701,0.7474834030486269,0.7456246427556146,0.7434190484723591,0.8075774093782265,0.7905397663259762,0.5610469230955849,0.7460795495045976,0.7413072222420756,0.7474237947683217,0.7443529432872239,0.7460939578876514,0.7447641210069812,0.8111856463327658,0.7914114970979758,0.5557866998240361,0.06089172428540879,0.060728752530814,0.05980197407347532,0.06086701182999199,0.06390514183556051
trade_only,logistic_regression,300,10,23,0.7196515332182456,0.7200452941486281,0.7249836494440811,0.7225060334349181,0.7196148423727887,0.7142460353014963,0.7759675213216385,0.7561588150953319,0.5927951577336437,0.718315631905339,0.715470908631822,0.714671759025726,0.7150711105503181,0.7182765748093864,0.721881390593047,0.7753177297299807,0.7497734982887847,0.5947448193112314,0.08865564188466746,0.09001058526771977,0.09566989067626042,0.08868439490825697,0.10554314064475157
without_shift_features,logistic_regression,300,10,51,0.8064434319884675,0.8071952220055931,0.8086719813338519,0.8079329268561892,0.806428097109001,0.8041842128841502,0.8702127944970282,0.8587484925740099,0.4779050554730766,0.80702473447858,0.8043079578553706,0.8059018519852994,0.8051041160484496,0.807012698787234,0.8081235455891687,0.8709664976075455,0.8553181743082369,0.47801212061698994,-5.346068857359221e-05,-2.2420230411657194e-05,2.112279869559419e-05,-5.172906959061141e-05,-1.5353747006008334e-06
without_stock_id,logistic_regression,300,10,58,0.8064567797967573,0.8072545351874073,0.80861011436551,0.807931756166053,0.8064419624779795,0.8042738105904489,0.8701531919007468,0.8586277603954741,0.47809711763791324,0.8073454986100221,0.8046315940882448,0.8062261295669093,0.8054280726382664,0.8073335005778275,0.8084408715887456,0.8711725627236344,0.8555452903552971,0.47780166741869856,-0.00037422482001570057,-0.00034637682022853333,-0.00018494231739329958,-0.00037253086018407267,-0.0002286514217608726
